Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2050,SSP3,Central Europe,2004913219,pork,8944703558,8944.703558,5223706.878
2050,SSP4,Central Latin America,1981120264,pork,8899007895,8899.007895,5197020.611
2050,SSP4,East Asia,1981120264,pork,8967795283,8967.795283,5237192.445
2050,SSP4,North Africa and Middle East,1981120264,pork,10019943845,10019.94385,5851647.208
2050,SSP4,Central Europe,1981120264,pork,10018662517,10018.66252,5850898.912
2050,SSP5,East Asia,1464277473,pork,19627880834,19627.88083,11462682.4
2050,SSP5,Central Europe,1464277473,pork,16838387756,16838.38776,9833618.452
2050,SSP5,Central Latin America,1464277473,pork,19752638623,19752.63862,11535540.95
2050,SSP5,North Africa and Middle East,1464277473,pork,22644159412,22644.15941,13224189.1
2020,SSP1,Median,996712840.3,beef,6823238888,6823.238888,2599654.016
2020,SSP1,Median,996712840.3,mutton,2558505925,2558.505925,0
2020,SSP1,Median,996712840.3,pork,3689425741,3689.425741,2154624.633
2020,SSP1,Median,996712840.3,poultry,5440423110,5440.42311,1697412.01
2020,SSP2,Median,1022193525,beef,6660157916,6660.157916,2537520.166
2020,SSP2,Median,1022193525,mutton,2384553145,2384.553145,0
2020,SSP2,Median,1022193525,pork,3587875395,3587.875395,2095319.231
2020,SSP2,Median,1022193525,poultry,5234853251,5234.853251,1633274.214
2020,SSP3,Median,1045757433,beef,6508495274,6508.495274,2479736.699
2020,SSP3,Median,1045757433,mutton,2304366545,2304.366545,0
2020,SSP3,Median,1045757433,pork,3594120252,3594.120252,2098966.227
2020,SSP3,Median,1045757433,poultry,5122894908,5122.894908,1598343.211
2020,SSP4,Median,1044232337,beef,6433577867,6433.577867,2451193.167
2020,SSP4,Median,1044232337,mutton,2257723054,2257.723054,0
2020,SSP4,Median,1044232337,pork,3555300203,3555.300203,2076295.319
2020,SSP4,Median,1044232337,poultry,5086197957,5086.197957,1586893.763
2020,SSP5,Median,994750142.5,beef,6846054480,6846.05448,2608346.757
2020,SSP5,Median,994750142.5,mutton,2571610230,2571.61023,0
2020,SSP5,Median,994750142.5,pork,3712509521,3712.509521,2168105.56
2020,SSP5,Median,994750142.5,poultry,5458668009,5458.668009,1703104.419
2030,SSP1,Median,1181202385,beef,10674709002,10674.709,4067064.129
2030,SSP1,Median,1181202385,mutton,4697690747,4697.690747,0
2030,SSP1,Median,1181202385,pork,5966746117,5966.746117,3484579.732
2030,SSP1,Median,1181202385,poultry,8904980696,8904.980696,2778353.977
2030,SSP2,Median,1255444397,beef,9524527683,9524.527683,3628845.047
2030,SSP2,Median,1255444397,mutton,3811214223,3811.214223,0
2030,SSP2,Median,1255444397,pork,5122577825,5122.577825,2991585.45
2030,SSP2,Median,1255444397,poultry,7846636604,7846.636604,2448150.62
2030,SSP3,Median,1337405243,beef,8981688971,8981.688971,3422023.498
2030,SSP3,Median,1337405243,mutton,3449939730,3449.93973,0
